name,inn
"АО ""ИЦР""",9710095388
"АО ""ЗАЩИЩЕННЫЕ ПРОГРАММНЫЕ СИСТЕМЫ""",9710100704
"ООО ""1С ПРО КОНСАЛТИНГ""",9713015920
"АО ""СОЛАР СЕКЬЮРИТИ""",9714069290
"АО ""ОБЪЕДИНЕННЫЕ ЦИФРОВЫЕ СЕТИ""",9715011173
"ООО ""1КЛИК""",9715234324
"АО ""ГЕКТАСОФТ""",9715401984
"ООО ""1С-БСЛ""",9715435824
"АО ""МЕДИАПРО""",9715460690
"АО ""ЭДС""",9715475552
"АО ""АМАСФЕРА""",9715492300
"АО ""ПЕРВЫЙ ПЛЮС""",9715499190
"ООО ""1С ИНТЕРНЕШНЛ""",9718066452
"АО ""ПЛОРУМ""",9718136597
"АО ""ТРИЗТЕХ""",9718287652
"ООО ""АБЕЛИМ""",9719015475
"ООО ""А2 КОД""",9719022828
"ООО ""АБ СИСТЕМ-ГРУПП""",9721049295
"ООО ""100БАЛЛЬНЫЙ РЕПЕТИТОР""",9721218842
"ООО ""36.6 ТЕХНОЛОГИИ""",9722024712
"АО ""ЭРЕМЕКС""",9723094014
"ООО ""1ЕРП""",9723176203
"АО ""СФ СИСТЕМА""",9723203190
"АО ""ПЛОЩАДЬ""",9723203841
"АО ""ИНДУСТРИАЛЬНЫЕ ТЕХНОЛОГИИ""",9723205310
"АО ""ПРОЕКТНЫЕ РЕШЕНИЯ""",9723212684
"АО ""АЛИАСОФТ""",9723215967
"АО ""Ф6 ИННОВАЦИИ""",9723265319
"АО ""ЦИФРОВАЯ ЭКСПЕРТИЗА""",9724102564
"АО ""ТЕХПРОЕКТЫ""",9724134541
"АО ""ЛТА""",9724232274
"АО ""ЦИФРОВЫЕ ТЕХНОЛОГИИ ЗДОРОВЬЯ""",9725045510
"ООО ""АБСОЛЮТ ТЕХНОЛОГИИ""",9725081941
"ООО ""АБСОЛЮТ ДИДЖИТАЛ""",9725160329
"АО ""ИННОЦИФРА""",9726009948
"АО ""АТЛАНТИС""",9726028027
"АО ""МЕДИА ЭФФЕКТ""",9726102390
"АО ""ЛИГРЕС""",9726106268
"АО ""ВЕГА СОФТ""",9727090902
ОВЕРТИМ ООО,9729004419
"ООО ""АВИЛЛИКС""",9729279526
"ООО ""АВТОБАН-ДИДЖИТАЛ""",9729292703
"АО ""СТА""",9729333879
"АО ""СМ""",9729400540
"АО ""ЭКЗОСОФТ""",9731012897
"ООО ""10Х ИТ - РЕШЕНИЯ""",9731014380
"АО ""ФЭСКОМ""",9731032759
"АО ""ЛАБОРАТОРИЯ ЦИФРОВОГО РАЗВИТИЯ""",9731063700
"АО ""АГРОТАРГЕТ""",9731077012
"АО ""АГРОБРОКЕР""",9731086673
"АО ""СМАРТРЕЙС""",9731088529
"АО ""КНОПКА""",9731093039
"АО ""ЗАРЯД!""",9731132249
"АО ""САРАФФАН.РАДИО""",9731142039
"АО ""ЦИФРОВЫЕ СЕРВИСЫ""",9731144188
"ООО ""А7-ТЕХНОЛОГИИ""",9731156232
"ООО ""МАГМА""",9810000291
